date,solar_HN,solar_DN,solar_HCM
2019-01-31,239.36,384.78,578.91
2019-02-28,271.31,545.17,582.53
2019-03-31,275.48,613.08,677.92
2019-04-30,405.56,667.23,638.79
2019-05-31,463.53,702.3,591.26
2019-06-30,564.69,698.5699999999999,505.52
2019-07-31,543.03,660.3,532.0
2019-08-31,512.7,601.67,527.55
2019-09-30,552.31,567.11,494.78
2019-10-31,428.8,545.82,590.9399999999999
2019-11-30,369.07,411.09000000000003,531.49
2019-12-31,329.15999999999997,394.21,582.86
2020-01-31,265.46,432.79,606.05
2020-02-29,264.43,489.55,620.06
2020-03-31,286.52,628.88,676.36
2020-04-30,352.21,558.23,642.28
2020-05-31,571.67,732.16,636.1
2020-06-30,613.21,695.42,515.59
2020-07-31,610.59,739.85,550.63
2020-08-31,469.2,618.99,546.2
2020-09-30,408.78,625.59,516.26
2020-10-31,379.13,342.19,396.83
2020-11-30,375.59,345.89,512.03
2020-12-31,308.44,262.53000000000003,504.4
2021-01-31,312.05,344.12,580.12
2021-02-28,293.98,508.88,566.07
2021-03-31,300.98,608.55,704.32
2021-04-30,336.04,655.88,602.77
2021-05-31,579.3199999999999,749.22,575.52
2021-06-30,588.5500000000001,661.58,560.15
2021-07-31,588.6,667.93,512.46
2021-08-31,556.87,705.49,549.55
2021-09-30,478.45,520.41,482.97
2021-10-31,333.88,431.99,476.15
2021-11-30,359.24,352.62,467.71000000000004
2021-12-31,341.15,314.04,547.17
2022-01-31,252.91,434.93,617.09
2022-02-28,239.6,357.85,581.92
2022-03-31,315.62,566.5600000000001,659.83
2022-04-30,453.98,597.37,623.96
2022-05-31,457.59,619.17,543.0699999999999
2022-06-30,571.61,719.26,622.58
2022-07-31,607.27,678.11,563.96
2022-08-31,543.14,652.38,580.18
2022-09-30,477.2,551.52,527.51
2022-10-31,459.78000000000003,467.45,541.8
2022-11-30,388.89,466.3,499.59
2022-12-31,324.08,294.15,569.29
2023-01-31,342.77,317.11,517.14
2023-02-28,272.98,441.3,587.47
2023-03-31,351.53000000000003,620.02,725.33
2023-04-30,376.0,663.88,672.28
2023-05-31,597.31,727.45,614.94
2023-06-30,524.96,693.83,557.83
2023-07-31,666.5,724.04,529.54
2023-08-31,526.77,670.13,619.73
2023-09-30,447.02,598.38,505.1
2023-10-31,488.29,434.75,562.43
2023-11-30,400.42,405.61,520.51
2023-12-31,303.38,340.64,563.64
2024-01-31,227.3,426.99,624.33
2024-02-29,277.25,487.2,618.25
2024-03-31,314.98,590.31,714.3
2024-04-30,450.3,706.9,714.19
2024-05-31,503.95,601.64,657.88
2024-06-30,511.45,686.94,593.82
2024-07-31,568.05,653.92,525.12
2024-08-31,568.31,752.52,647.48
2024-09-30,432.55,561.43,491.33
2024-10-31,510.87,478.52,544.52
2024-11-30,411.91,403.38,573.57
2024-12-31,306.97,257.91,451.46
2025-01-31,396.05,420.33,586.23
2025-02-28,194.44,382.90999999999997,574.64
2025-03-31,359.77,513.88,684.86
2025-04-30,451.77,615.28,672.55
2025-05-31,500.17,700.41,629.0
2025-06-30,553.23,638.55,541.14
2025-07-31,582.88,618.21,578.2
2025-08-31,501.29,644.45,591.57
2025-09-30,513.37,565.32,490.28
2025-10-31,410.41,441.07,565.55
